30722,1002,177,130,20110829,120516,15.03,11.60,37.40091,-122.03080,16.45,0.00877,0.00353,119.565,816.0000000000,-12.53015,7.0508,35.5254,250.4844,7.95335,-118.17502,125.73313,-8.46203,32.94,531,0,31,129,161,220,1,23,4,30,34,0,12,1,42,45,30,30,1,63,1,0,0,
31724,1002,184,314,20110829,120517,13.08,8.55,37.40097,-122.03078,15.95,0.00454,0.00260,119.565,836.0000000000,6.74695,4.6359,25.6630,118.9705,7.28774,86.37728,137.21681,11.57712,34.48,534,0,32,129,161,220,2,1,3,13,23,0,10,1,42,45,30,30,0,235,1,0,0,
32731,1007,110,424,20110829,120518,10.12,8.40,37.40105,-122.03076,13.30,0.00596,0.00257,118.478,851.0000000000,21.20477,17.4455,27.1000,472.7718,22.18930,273.66259,45.06676,3.65413,39.15,543,0,49,129,161,218,35,8,1,1,19,35,13,1,39,45,30,30,0,231,28,0,0,
33735,1004,168,592,20110829,120519,7.78,11.20,37.40108,-122.03075,12.81,0.00239,0.00341,116.304,854.0000000000,24.09638,57.8333,45.5179,2632.4492,306.71228,228.95603,3.26038,4.36765,38.10,541,0,69,129,161,214,1,1,64,75,0,1,20,1,42,45,30,30,1,52,37,0,0,
34738,1003,171,763,20110829,120520,9.79,13.82,37.40111,-122.03074,12.16,0.00228,0.00421,114.674,881.0000000000,50.12048,61.8363,56.7836,3511.2868,428.87527,380.58483,2.33168,2.62754,37.58,540,0,79,128,161,211,22,1,46,38,62,1,25,1,42,45,30,30,1,124,33,0,0,
35749,1011,150,124,20110829,120521,9.79,16.29,37.40121,-122.03071,12.16,0.00716,0.00500,117.935,855.0000000000,25.06024,43.1267,55.0733,2375.1293,93.13844,165.99856,10.73671,6.02415,34.48,534,0,73,129,161,217,22,1,1,0,50,24,24,1,42,45,30,30,1,192,21,0,0,
36750,1001,167,291,20110829,120522,17.07,17.13,37.40134,-122.03067,11.59,0.00921,0.00520,119.022,839.0000000000,9.63855,19.2335,49.5629,953.2692,28.77883,61.28755,34.74776,16.31653,36.54,538,0,56,129,160,219,7,6,1,0,39,48,21,1,42,45,31,30,1,215,3,0,0,
37752,1002,175,466,20110829,120523,17.45,17.49,37.40140,-122.03067,9.79,0.00427,0.00532,119.022,835.0000000000,5.78314,16.9771,49.8857,846.9169,55.21685,36.00810,18.11041,27.77153,37.58,540,0,49,129,161,219,3,3,5,0,44,46,19,1,44,45,31,30,1,225,1,0,0,
38754,1002,179,645,20110829,120524,17.92,16.00,37.40148,-122.03064,8.42,0.00569,0.00487,119.565,842.0000000000,12.53009,8.1508,43.9385,358.1360,17.52729,85.67647,57.05387,11.67182,31.93,529,0,35,129,161,220,3,3,1,9,0,40,17,1,44,45,31,30,1,184,1,0,0,
39757,1003,176,821,20110829,120525,15.33,12.77,37.40161,-122.03063,357.61,0.00910,0.00389,118.478,842.0000000000,12.53009,21.9773,40.8750,898.3210,27.51358,106.42433,36.34569,9.39635,39.15,543,0,48,129,161,218,16,1,1,0,36,30,17,1,44,45,31,30,1,95,10,0,0,
40759,1002,168,130,20110829,120526,13.25,13.89,37.40172,-122.03061,21.36,0.00742,0.00423,116.304,868.0000000000,37.59033,27.5476,45.1905,1244.8900,46.67248,287.98107,21.42590,3.47245,37.58,540,0,76,129,161,214,1,51,1,51,1,42,25,1,44,45,31,30,1,126,32,0,0,
41761,1002,168,298,20110829,120527,13.10,17.09,37.40176,-122.03057,36.57,0.00362,0.00520,114.130,935.0000000000,102.16864,84.7441,71.3274,6044.5708,464.99249,624.27569,2.15057,1.60186,35.50,536,0,94,129,161,210,1,49,1,0,1,67,33,1,44,46,31,30,1,214,40,0,0,
42765,1004,97,395,20110829,120528,14.21,20.59,37.40181,-122.03044,59.00,0.00823,0.00627,114.130,877.0000000000,46.26501,73.4227,76.9897,5652.7900,191.50718,234.74314,5.22174,4.25997,37.06,539,0,90,129,161,210,1,50,38,73,5,43,34,1,44,46,31,30,2,54,31,0,0,
43766,1001,164,559,20110829,120529,20.73,24.04,37.40183,-122.03033,73.33,0.00606,0.00730,114.674,880.0000000000,49.15662,59.7683,81.0549,4844.5117,222.22499,214.58547,4.49994,4.66015,33.96,533,0,88,128,161,211,52,1,30,35,76,1,35,1,46,46,31,31,2,149,25,0,0,
44770,1004,169,728,20110829,120530,22.68,25.42,37.40186,-122.03022,73.46,0.00620,0.00775,115.761,867.0000000000,36.62646,44.9882,79.3964,3571.9006,160.72492,152.62820,6.22181,6.55187,38.62,542,0,90,129,161,213,1,1,53,78,13,1,35,1,46,46,31,31,2,187,27,0,0,
45779,1009,161,146,20110829,120531,24.06,26.55,37.40188,-122.03010,73.65,0.00685,0.00813,116.848,861.0000000000,30.84338,41.0994,80.4286,3305.5644,135.25213,124.22670,7.39360,8.04980,40.20,545,0,82,129,161,215,1,28,53,77,1,29,34,1,46,46,31,31,2,218,16,0,0,
46780,1001,160,306,20110829,120532,26.70,26.22,37.40196,-122.02971,73.65,0.02210,0.00797,117.935,849.0000000000,19.27710,32.8187,79.5750,2611.5517,32.85642,79.34207,30.43545,12.60365,40.73,546,0,86,129,161,217,7,1,13,69,74,0,32,1,48,46,33,31,2,209,5,0,0,
47783,1003,166,472,20110829,120533,27.14,27.39,37.40199,-122.02958,74.69,0.00743,0.00834,117.935,853.0000000000,23.13251,31.3976,79.7169,2502.9174,93.84256,91.16431,10.65614,10.96920,40.20,545,0,80,129,161,217,1,11,41,74,0,20,34,1,48,46,33,31,2,241,8,0,0,
48785,1002,174,646,20110829,120534,27.37,28.62,37.40202,-122.02944,75.48,0.00783,0.00871,116.848,864.0000000000,33.73492,28.7184,79.2931,2277.1704,80.91287,126.03201,12.35897,7.93449,36.02,537,0,86,129,161,215,1,19,1,80,0,92,36,1,48,46,33,31,3,19,12,0,0,
49789,1004,161,807,20110829,120535,27.70,28.44,37.40207,-122.02917,74.82,0.01546,0.00867,116.848,864.0000000000,33.73492,30.7205,81.6770,2509.1586,45.25499,126.83783,22.09701,7.88408,33.45,532,0,87,129,161,215,22,13,1,0,44,82,36,1,48,46,33,31,3,14,14,0,0,
50802,1013,134,106,20110829,120536,28.11,28.84,37.40213,-122.02890,74.27,0.01570,0.00887,117.935,852.0000000000,22.16864,34.3433,84.2239,2892.5246,51.84582,82.95890,19.28796,12.05416,42.86,550,0,84,129,161,217,22,1,1,0,81,56,36,1,48,46,33,31,3,25,10,0,0,
51803,1001,173,279,20110829,120537,28.68,28.84,37.40216,-122.02875,74.18,0.00830,0.00876,117.935,848.0000000000,18.31323,25.1792,80.6879,2031.6550,68.05181,68.53130,14.69469,14.59187,38.62,542,0,78,129,161,217,7,36,1,7,30,78,34,1,48,46,33,31,3,25,7,0,0,
52813,1010,106,385,20110829,120538,28.93,27.28,37.40222,-122.02848,74.32,0.01563,0.00836,119.022,839.0000000000,9.63855,20.2547,76.1509,1542.4157,27.67738,38.48858,36.13059,25.98173,41.26,547,0,69,129,160,219,5,5,1,56,0,72,31,1,48,46,33,31,2,238,2,0,0,
53815,1002,174,559,20110829,120539,28.25,27.79,37.40225,-122.02833,73.39,0.00815,0.00845,119.022,838.0000000000,8.67468,11.7931,68.0575,802.6088,27.39978,34.00492,36.49664,29.40751,41.26,547,0,49,129,161,219,1,5,6,0,57,68,29,1,46,46,33,33,2,252,2,0,0,
54816,1001,181,740,20110829,120540,27.45,25.35,37.40228,-122.02819,74.38,0.00794,0.00770,119.022,838.0000000000,8.67468,10.0939,65.6685,662.8529,23.22285,37.27368,43.06103,26.82858,47.73,559,0,23,129,161,219,4,3,3,64,0,64,27,1,48,46,33,33,2,185,2,0,0,
